name,status,member,url
VALORANT / FREEFIRE VENDAS E TROCAS 💯,Công khai,9800,https://www.facebook.com/groups/vendasetrocascfeff/?__tn__=%3C
Valorant NA ~ Server,Công khai,6100,https://www.facebook.com/groups/1444465822411268/?__tn__=%3C
Valorant NA,Công khai,1600,https://www.facebook.com/groups/3669186799821308/?__tn__=%3C
Valorant,Công khai,2200,https://www.facebook.com/groups/FeelTheFear.gaming/?__tn__=%3C
Valorant Latino,Công khai,8700,https://www.facebook.com/groups/ValorantLatino/?__tn__=%3C
VALORANT USA,Công khai,1900,https://www.facebook.com/groups/ValorantUSA/?__tn__=%3C
Valorant TW 特戰英豪台服交易社團(收購/販售/交換 Buy/Sell/Trade),Công khai,6500,https://www.facebook.com/groups/valorant0/?__tn__=%3C
Valorant Community,Công khai,6600,https://www.facebook.com/groups/171234599977636/?__tn__=%3C
Valorant,Công khai,3200,https://www.facebook.com/groups/valorantfps/?__tn__=%3C
Valorant PH (Buy Sell Trade),Công khai,2600,https://www.facebook.com/groups/valorantphbst/?__tn__=%3C
Valorant - North America,Công khai,313,https://www.facebook.com/groups/276191976904276/?__tn__=%3C
Valorant FR,Công khai,4700,https://www.facebook.com/groups/487518545768494/?__tn__=%3C
VALORANT AND APEX LEGENDS ACCOUNTS BUY/SELL/TRADE,Công khai,104,https://www.facebook.com/groups/200500576242896/?__tn__=%3C
Valorant LatinoAmerica,Công khai,897,https://www.facebook.com/groups/valorantlan/?__tn__=%3C
Valorant Argentina,Công khai,3600,https://www.facebook.com/groups/riotvalorantargentina/?__tn__=%3C
Valorant Streamers PH,Công khai,6300,https://www.facebook.com/groups/307284730418735/?__tn__=%3C
VALORANT 交流區 Community【EN/CH】,Công khai,1900,https://www.facebook.com/groups/valorantmych/?__tn__=%3C
Valorant Gamers Community,Công khai,7600,https://www.facebook.com/groups/valorantgamerscommunity/?__tn__=%3C
